industry,origin_city,dest_tier,shipments_per_day,avg_weight,avg_distance_km,pct_same_day,pct_4hr,peak_window,on_time_importance,current_provider,cur_delivery_time_hr,cur_cost_aed,fuel_cost,driver_wage,vehicle_type,maint_cost_per_km,delay_rate_pct,delay_reason,delay_churn_pct,csat_current,nps_current,repeat_rate,complaint_count,complaint_category,faster_rev_impact,sales_uplift_pct,premium_wtp,cost_vs_speed,switch_likelihood,avg_stops,return_pickups_pct,traffic_level,cold_chain_pct,cust_time_pref,speed_rankings,price_rankings,switch_reason,adoption_drivers,churn_threshold,target_cost_per_km,fuel_sensitivity_pct,desired_cost_redux,roi_months,primary_kpi
pharma,Dubai,Tier-2 suburban,12.81,5.55,22.88,30.23,15.79,2–6 pm,2,Traditional 3PL,5.33,20.57,3.43,15.73,Bike,1.54,24.36,Vehicle breakdown,21.47,7,88,54.26,2,Poor support,No,34.7,9.93,Cost over speed,1,1,39,Heavy,99,Evening,"[4, 2, 1, 5, 3]","[2, 3, 4, 1, 5]",Reliability,"Real-time tracking, CO₂ reporting",After 1 miss,2.48,30.52,13.89,3,Delivery time
other,Dubai,Tier-1 urban,25.16,4.64,14.53,24.32,9.96,10 am–2 pm,5,Competitor B,6.04,16.63,3.3,20.43,Bike,0.65,11.35,Traffic,24.87,1,92,9.9,1,Poor support,Yes,36.77,6.15,Both equal,3,7,81,Moderate,31,Anytime,"[2, 3, 5, 4, 1]","[5, 4, 3, 2, 1]",Speed,Real-time tracking,After 1 miss,2.02,33.1,58.03,1,Cost per delivery
electronics,Dubai,Tier-1 urban,40.41,3.33,19.16,21.96,30.12,6–10 pm,4,Traditional 3PL,3.64,14.48,2.61,19.89,Bike,1.99,19.66,Customs,31.6,3,58,28.5,2,Late delivery,Yes,9.87,5.28,Speed over cost,2,4,31,Light,95,Afternoon,"[3, 1, 2, 5, 4]","[5, 1, 2, 3, 4]",Speed,"COD handling, Real-time tracking",3 misses,1.57,39.68,24.9,8,Cost per delivery
groceries,Sharjah,Tier-2 suburban,33.6,2.64,5.95,31.65,24.13,10 am–2 pm,1,Traditional 3PL,7.19,21.24,3.49,50.0,Bike,0.99,15.24,Vehicle breakdown,14.0,2,-20,32.1,2,Late delivery,Yes,19.17,4.28,Cost over speed,5,9,70,Heavy,20,Morning,"[4, 2, 3, 5, 1]","[2, 1, 3, 5, 4]",Speed,"24/7 support, Real-time tracking",Would stay,1.8,29.93,18.75,5,CO₂ emissions
e-commerce,Abu Dhabi,Tier-1 urban,52.18,2.91,23.92,37.38,34.21,10 am–2 pm,2,Traditional 3PL,9.8,36.9,6.0,16.69,Bike,1.59,49.4,Customs,10.66,2,74,17.31,2,Late delivery,Yes,46.62,3.48,Both equal,1,7,85,Moderate,53,Afternoon,"[1, 2, 4, 5, 3]","[5, 4, 3, 1, 2]",Speed,AI ETA accuracy,After 1 miss,1.39,13.0,24.56,2,Delivery time
e-commerce,Ajman,Tier-2 suburban,48.15,3.83,18.39,41.32,9.6,2–6 pm,3,Competitor B,6.69,13.03,4.01,15.26,Bike,1.86,29.24,Traffic,37.9,5,74,13.32,1,Poor support,Yes,33.85,7.0,Both equal,5,2,18,Moderate,58,Evening,"[5, 3, 4, 2, 1]","[1, 2, 3, 4, 5]",Reliability,"24/7 support, Real-time tracking, AI ETA accuracy",5 misses,2.98,14.94,9.45,10,CSAT
e-commerce,Dubai,Rural,1.0,0.32,5.63,27.85,78.11,2–6 pm,2,In-house,6.67,25.0,2.94,18.08,Bike,1.75,55.06,Traffic,35.4,9,-13,22.35,0,Late delivery,Yes,24.17,1.21,Cost over speed,3,7,51,Light,35,Afternoon,"[3, 5, 2, 1, 4]","[1, 3, 4, 2, 5]",Service,"CO₂ reporting, AI ETA accuracy",3 misses,1.13,38.67,29.97,10,Cost per delivery
fashion,Sharjah,Tier-1 urban,39.86,5.08,23.71,27.7,21.39,10 am–2 pm,1,Competitor B,6.12,37.32,2.23,11.41,Van,1.04,11.91,Wrong routing,4.14,6,-26,39.53,0,Damaged goods,Yes,15.08,7.05,Speed over cost,4,9,21,Moderate,75,Afternoon,"[3, 5, 2, 4, 1]","[3, 2, 1, 4, 5]",Service,"COD handling, Real-time tracking",After 1 miss,1.93,38.02,52.37,8,CSAT
electronics,Sharjah,Tier-2 suburban,44.65,0.2,23.02,27.74,33.1,2–6 pm,4,Competitor B,4.02,27.37,3.79,18.55,Van,1.49,17.9,Traffic,41.49,6,44,25.78,0,Late delivery,Yes,53.87,2.24,Cost over speed,3,2,38,Moderate,7,Morning,"[3, 2, 4, 1, 5]","[3, 4, 5, 2, 1]",Speed,"AI ETA accuracy, Real-time tracking",3 misses,2.0,8.57,40.81,9,CO₂ emissions
electronics,Sharjah,Tier-1 urban,1.0,9.4,17.11,36.36,42.61,10 am–2 pm,4,Competitor A,2.51,91.61,3.12,18.12,Van,0.87,7.77,Wrong routing,34.82,10,42,31.05,1,Late delivery,Yes,43.02,2.02,Cost over speed,2,5,19,Moderate,49,Anytime,"[3, 4, 1, 5, 2]","[1, 2, 3, 5, 4]",Speed,"CO₂ reporting, Real-time tracking",After 1 miss,2.8,12.11,31.89,5,On-time %
